timestamp,hr_bpm,snr,rmssd_ms_trend,resp_per_min,face_idx,voice_db,voice_voiced,voice_pitch_hz,voice_speech_ratio,voice_tempo_per_min,voice_pauses_per_min,voice_avg_pause_sec
2026-06-17T11:47:19,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:20,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:20,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:21,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:22,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:23,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:24,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:25,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:26,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:26,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:27,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:28,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:29,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:30,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:30,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:31,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:32,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:33,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:34,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:35,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:35,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:36,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:37,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:38,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:39,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:40,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:40,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:41,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:42,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:43,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:44,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:45,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:45,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:46,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:47,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:48,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:49,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:50,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:50,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:51,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:52,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:53,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:54,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:55,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:56,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:56,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:57,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:58,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:47:59,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:00,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:01,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:01,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:02,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:03,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:04,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:05,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:06,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:06,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:07,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:08,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:09,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:10,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:10,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:11,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
2026-06-17T11:48:12,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.000,,0.00,
